epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,663.326,0.24843,0.16201,1.13222,0.98768,0.9926,0.99486,0.98611,0.32802,0.16505,1.07959,0.000332025,0.000332025,0.000332025
37,681.243,0.26031,0.15748,1.14077,0.99423,0.99731,0.995,0.97,0.4085,0.163,1.10106,0.000325671,0.000325671,0.000325671
38,698.945,0.25512,0.15161,1.13619,0.99441,0.99735,0.995,0.99013,0.30891,0.15945,1.07357,0.000319223,0.000319223,0.000319223
39,716.944,0.24028,0.15385,1.1314,0.98661,0.99149,0.995,0.98325,0.35425,0.16942,1.08123,0.000312686,0.000312686,0.000312686
40,735.199,0.24348,0.16631,1.1373,0.963,0.96281,0.97945,0.97679,0.26464,0.25585,1.06074,0.000306067,0.000306067,0.000306067
41,752.899,0.24115,0.14604,1.13195,0.99771,1,0.995,0.99435,0.1979,0.11928,1.04298,0.000299373,0.000299373,0.000299373
42,770.931,0.22934,0.14035,1.13812,0.99397,1,0.995,0.99446,0.20147,0.11844,1.04884,0.000292611,0.000292611,0.000292611
43,788.793,0.23333,0.14192,1.13335,0.99789,1,0.995,0.98621,0.31123,0.13619,1.07074,0.000285786,0.000285786,0.000285786
44,806.746,0.22888,0.13602,1.13252,0.99188,0.9892,0.99466,0.96929,0.32462,0.20429,1.09469,0.000278906,0.000278906,0.000278906
45,824.626,0.23509,0.13864,1.1335,0.99871,1,0.995,0.99067,0.27233,0.12366,1.05637,0.000271978,0.000271978,0.000271978
46,842.349,0.23282,0.13643,1.13192,0.9982,1,0.995,0.98428,0.33983,0.15289,1.0733,0.000265008,0.000265008,0.000265008
47,860.181,0.23924,0.14222,1.12675,0.99709,1,0.995,0.99405,0.25878,0.13234,1.05766,0.000258003,0.000258003,0.000258003
48,878.203,0.22275,0.13315,1.12341,0.99691,0.99641,0.995,0.99283,0.25718,0.13223,1.0612,0.000250971,0.000250971,0.000250971
49,896.018,0.2214,0.1261,1.12425,0.99727,0.9996,0.995,0.99362,0.24707,0.12206,1.06198,0.000243917,0.000243917,0.000243917
50,913.926,0.21613,0.12971,1.12406,0.99641,1,0.995,0.99362,0.24564,0.1168,1.05434,0.000236849,0.000236849,0.000236849
51,931.687,0.20924,0.12368,1.12213,0.99746,1,0.995,0.99074,0.27185,0.16889,1.05754,0.000229775,0.000229775,0.000229775
52,949.511,0.20352,0.1239,1.11824,0.99798,1,0.995,0.99368,0.2605,0.1424,1.05987,0.000222701,0.000222701,0.000222701
53,967.157,0.20656,0.12186,1.12161,0.99533,0.99815,0.995,0.98979,0.27785,0.14063,1.05864,0.000215633,0.000215633,0.000215633
54,984.828,0.20848,0.11917,1.12624,0.99502,0.99815,0.995,0.9931,0.23561,0.14294,1.05226,0.000208579,0.000208579,0.000208579
55,1002.63,0.20492,0.12806,1.11392,0.99153,0.99558,0.995,0.99239,0.24278,0.14194,1.05148,0.000201547,0.000201547,0.000201547
56,1020.5,0.20062,0.11626,1.11477,0.99883,1,0.995,0.9889,0.28893,0.12288,1.06171,0.000194542,0.000194542,0.000194542
57,1038.19,0.2012,0.11437,1.11535,0.9988,1,0.995,0.99368,0.26345,0.11382,1.05502,0.000187572,0.000187572,0.000187572
58,1055.82,0.1981,0.11071,1.11968,0.99912,1,0.995,0.99417,0.23567,0.1107,1.04894,0.000180644,0.000180644,0.000180644
59,1073.87,0.19866,0.10998,1.1093,0.99613,0.99849,0.995,0.99436,0.19531,0.1047,1.04255,0.000173764,0.000173764,0.000173764
60,1091.73,0.19533,0.11385,1.11783,0.99833,1,0.995,0.99469,0.23476,0.10984,1.04618,0.000166939,0.000166939,0.000166939
61,1109.63,0.19207,0.11301,1.10948,0.99861,1,0.995,0.99449,0.23555,0.11297,1.05622,0.000160177,0.000160177,0.000160177
62,1127.22,0.18377,0.10579,1.10365,0.99948,1,0.995,0.9927,0.29001,0.11352,1.07355,0.000153483,0.000153483,0.000153483
63,1145.48,0.18947,0.11188,1.11056,0.98763,0.98726,0.98926,0.98792,0.26961,0.16817,1.06005,0.000146864,0.000146864,0.000146864
64,1163.22,0.18641,0.10897,1.10814,0.99874,1,0.995,0.99341,0.26071,0.12126,1.05964,0.000140327,0.000140327,0.000140327
65,1180.98,0.18179,0.10428,1.11057,0.99761,0.99742,0.995,0.99361,0.26662,0.111,1.05427,0.000133879,0.000133879,0.000133879
66,1198.65,0.18771,0.10852,1.1092,0.99859,1,0.995,0.99414,0.21873,0.10057,1.0457,0.000127525,0.000127525,0.000127525
67,1216.48,0.184,0.1009,1.11673,0.99927,1,0.995,0.99314,0.23789,0.10972,1.04515,0.000121272,0.000121272,0.000121272
68,1234.21,0.17806,0.09817,1.1097,0.99671,0.99729,0.995,0.99456,0.21992,0.11034,1.04273,0.000115126,0.000115126,0.000115126
69,1251.91,0.17096,0.09479,1.10858,0.99757,0.99725,0.995,0.99358,0.26868,0.11553,1.05445,0.000109093,0.000109093,0.000109093
70,1269.48,0.17601,0.09712,1.11077,0.9986,0.99852,0.995,0.994,0.22816,0.11644,1.04973,0.00010318,0.00010318,0.00010318
71,1287.15,0.16931,0.09684,1.11323,0.99916,1,0.995,0.99401,0.20365,0.11447,1.04227,9.73911e-05,9.73911e-05,9.73911e-05
72,1304.83,0.16868,0.09595,1.11039,0.99664,0.99706,0.99024,0.98924,0.2131,0.11673,1.04181,9.1733e-05,9.1733e-05,9.1733e-05
73,1322.53,0.16415,0.09408,1.10716,0.99828,0.99954,0.995,0.99448,0.22299,0.10804,1.04581,8.62112e-05,8.62112e-05,8.62112e-05
74,1340.32,0.15881,0.09144,1.10411,0.99667,0.99726,0.995,0.99459,0.19127,0.10873,1.03712,8.0831e-05,8.0831e-05,8.0831e-05
75,1358.26,0.1618,0.09341,1.10043,0.99662,0.99706,0.99206,0.99098,0.25693,0.12167,1.05227,7.55979e-05,7.55979e-05,7.55979e-05
76,1375.95,0.15947,0.08964,1.10649,0.99665,0.99706,0.99473,0.99432,0.20126,0.11184,1.03934,7.05169e-05,7.05169e-05,7.05169e-05
77,1393.88,0.16177,0.08904,1.09542,0.99649,0.99706,0.99486,0.99428,0.22237,0.10917,1.0453,6.5593e-05,6.5593e-05,6.5593e-05
78,1411.48,0.16002,0.08936,1.10902,0.99661,0.99706,0.9908,0.99042,0.17174,0.10742,1.03558,6.08312e-05,6.08312e-05,6.08312e-05
79,1429.31,0.15666,0.08774,1.10053,0.99659,0.99706,0.99052,0.99,0.22757,0.11424,1.04626,5.62362e-05,5.62362e-05,5.62362e-05
80,1447.04,0.15994,0.08758,1.09445,0.99653,0.99706,0.99192,0.98914,0.23565,0.12249,1.0502,5.18123e-05,5.18123e-05,5.18123e-05
81,1464.69,0.15445,0.08489,1.10517,0.99668,0.99706,0.99178,0.99112,0.21292,0.11632,1.04405,4.75641e-05,4.75641e-05,4.75641e-05
82,1482.49,0.15436,0.08519,1.10162,0.99676,0.99706,0.98968,0.98907,0.2023,0.11202,1.04255,4.34958e-05,4.34958e-05,4.34958e-05
83,1500.28,0.1541,0.08439,1.10874,0.99675,0.99706,0.9908,0.98953,0.22369,0.11751,1.04457,3.96112e-05,3.96112e-05,3.96112e-05
84,1517.97,0.15135,0.08436,1.10932,0.99648,0.99706,0.98968,0.9889,0.18104,0.1159,1.03757,3.59144e-05,3.59144e-05,3.59144e-05
85,1535.82,0.14897,0.0829,1.09863,0.99682,0.99706,0.98954,0.98913,0.18928,0.1134,1.03846,3.24088e-05,3.24088e-05,3.24088e-05
86,1562.8,0.15014,0.08149,1.10773,0.99674,0.99706,0.99094,0.99051,0.21138,0.11947,1.04532,2.90981e-05,2.90981e-05,2.90981e-05
87,1580.66,0.15211,0.08216,1.10376,0.99674,0.99706,0.99024,0.98907,0.22125,0.11981,1.04744,2.59853e-05,2.59853e-05,2.59853e-05
88,1598.33,0.14246,0.07926,1.10644,0.99674,0.99706,0.99094,0.99048,0.18301,0.11181,1.03813,2.30737e-05,2.30737e-05,2.30737e-05
89,1615.93,0.14792,0.08048,1.10629,0.99663,0.99706,0.9908,0.99036,0.18796,0.11349,1.03916,2.03661e-05,2.03661e-05,2.03661e-05
90,1633.61,0.14493,0.07997,1.10283,0.99682,0.99706,0.99164,0.99071,0.193,0.11397,1.03929,1.78651e-05,1.78651e-05,1.78651e-05
